Job Title,Location,Sector,Job Type,Closing Date,Job URL,Employer,Sponsored,Category,Sponsorship Start Date,Scrape Date
Deputy Service Manager - Salamander Bay,"Salamander Bay, NSW, 2317",Aged Care,Full time permanent,Closing on: Dec 6 2024,https://careers.uniting.org/jobs/deputy-service-manager-salamander-bay-salamander-bay-nsw-australia,Uniting Care,false,,,2024-12-02
Service Manager,"Leichhardt, NSW, 2040",Aged Care,Full time closed period contract,Closing on: Dec 14 2024,https://careers.uniting.org/jobs/service-manager-leichhardt-nsw-australia,Uniting Care,false,,,2024-12-02
CHINESE SPEAKING Care Service Employee,"Ashfield , NSW, 2131",Aged Care,Part time permanent,Closing on: Dec 28 2024,https://careers.uniting.org/jobs/chinese-speaking-care-service-employee-ashfield-nsw-australia,Uniting Care,false,,,2024-12-02
Home Care Worker,"Deakin, ACT, 2600",Aged Care,Part time permanent,Closing on: Dec 26 2024,https://careers.uniting.org/jobs/home-care-worker-deakin-act-australia-2d894f9b-fba4-4071-acdb-e233971a599e,Uniting Care,false,,,2024-12-02
Home Care Worker,"Broken Hill, NSW, 2880",Aged Care,Part time permanent,Closing on: Dec 26 2024,https://careers.uniting.org/jobs/home-care-worker-broken-hill-nsw-australia-5e35dc53-809b-48a4-821a-369dbf97db12,Uniting Care,false,,,2024-12-02
Home Care Worker,"Broken Hill, NSW, 2880",Aged Care,Part time permanent,Closing on: Dec 24 2024,https://careers.uniting.org/jobs/home-care-worker-broken-hill-nsw-australia-e18274d1-edfa-43d3-b448-d45daf404bdb,Uniting Care,false,,,2024-12-02
Home Care Worker,"Orange, NSW, 2800",Aged Care,Part time permanent,Closing on: Dec 26 2024,https://careers.uniting.org/jobs/home-care-worker-orange-nsw-australia-735d76bb-6f39-47af-a86b-082fcebd3d27,Uniting Care,false,,,2024-12-02
Home Care Worker,"Glenfield Park, NSW, 2650",Aged Care,Part time permanent,Closing on: Dec 26 2024,https://careers.uniting.org/jobs/home-care-worker-glenfield-park-nsw-australia-5034e726-a091-4bf2-aa24-4819743fe4d2,Uniting Care,false,,,2024-12-02
Home Care Worker,"Orange, NSW, 2800",Aged Care,Part time permanent,Closing on: Dec 23 2024,https://careers.uniting.org/jobs/home-care-worker-orange-nsw-australia-e8062b12-c995-4f6f-8575-147cc83abcf6,Uniting Care,false,,,2024-12-02
Home Care Worker,"Deakin, ACT, 2600",Aged Care,Part time permanent,Closing on: Dec 26 2024,https://careers.uniting.org/jobs/home-care-worker-deakin-act-australia-fea30788-14b4-42ab-a52d-ecb239a46f99,Uniting Care,false,,,2024-12-02
Registered Nurse,"Lilyfield, NSW, 2040",Aged Care,Part time permanent,Closing on: Dec 11 2024,https://careers.uniting.org/jobs/registered-nurse-lilyfield-nsw-australia-c7a7f8b3-3529-42e0-9de7-05487a032b58,Uniting Care,false,,,2024-12-02
Home Care Worker - Sydney Inner West,"Parramatta, NSW, 2150",Aged Care,Part time permanent,Closing on: Dec 20 2024,https://careers.uniting.org/jobs/home-care-worker-sydney-inner-west-parramatta-nsw-australia,Uniting Care,false,,,2024-12-02
CHINESE SPEAKING Registered Nurses,"Ashfield , NSW, 2131",Aged Care,Part time permanent,Closing on: Dec 16 2024,https://careers.uniting.org/jobs/chinese-speaking-registered-nurses-ashfield-nsw-australia,Uniting Care,false,,,2024-12-02
Quality Improvement Specialist,"Bankstown, NSW, 2200",Aged Care,Part time permanent,Closing on: Dec 11 2024,https://careers.uniting.org/jobs/quality-improvement-specialist-bankstown-nsw-australia-16dbaa7c-01ba-4b99-8b89-420571c7ba60,Uniting Care,false,,,2024-12-02
Chinese Speaking Leisure and Wellness Coordinator,"Ashfield, NSW, 2131",Aged Care,Part time permanent,Closing on: Dec 27 2024,https://careers.uniting.org/jobs/chinese-speaking-leisure-and-wellness-coordinator-ashfield-nsw-australia,Uniting Care,false,,,2024-12-02
Care Worker - Koombahla,"Elermore Vale, NSW, 2287",Aged Care,Part time permanent,Closing on: Dec 26 2024,https://careers.uniting.org/jobs/care-worker-koombahla-elermore-vale-nsw-australia,Uniting Care,false,,,2024-12-02
Registered Nurse,"Armidale, NSW, 2350",Aged Care,Casual,Closing on: Dec 19 2024,https://careers.uniting.org/jobs/registered-nurse-armidale-nsw-australia-95a57e92-f3cd-4212-91d4-60326bb1ac0d,Uniting Care,false,,,2024-12-02
Registered Nurse - Singleton,"Singleton, NSW, 2330",Aged Care,"Full time permanent


          
    
    
      Part time permanent",Closing on: Dec 8 2024,https://careers.uniting.org/jobs/registered-nurse-singleton-singleton-nsw-australia-ed4b6acc-748a-4846-be9a-2321184f5770,Uniting Care,false,,,2024-12-02
Care Worker - Bernard Austin Lodge,"Liverpool, NSW, 2170",Aged Care,Casual,Closing on: Dec 25 2024,https://careers.uniting.org/jobs/care-worker-bernard-austin-lodge-liverpool-nsw-australia-e1a333b5-6b6d-4a80-b336-0d44e5fe931f,Uniting Care,false,,,2024-12-02
Neighbourhood Coordinator - Jerilderie,"Berrigan, NSW, 2712",Aged Care,"Full time permanent


          
    
    
      Part time permanent",Closing on: Dec 25 2024,https://careers.uniting.org/jobs/neighbourhood-coordinator-jerilderie-berrigan-nsw-australia,Uniting Care,false,,,2024-12-02
Registered Nurse - Northaven,"Turramurra , NSW, 2074",Aged Care,Casual,Closing on: Dec 25 2024,https://careers.uniting.org/jobs/registered-nurse-northaven-turramurra-nsw-australia,Uniting Care,false,,,2024-12-02
Home Care Worker - East Sydney,"Parramatta, NSW, 2150",Aged Care,Part time permanent,Closing on: Dec 20 2024,https://careers.uniting.org/jobs/home-care-worker-east-sydney-parramatta-nsw-australia-271dd03e-0fcb-4c57-b1e7-9e7832171a90,Uniting Care,false,,,2024-12-02
Registered Nurse - Wesley Gardens,"Belrose, NSW, 2085",Aged Care,Full time permanent,Closing on: Dec 25 2024,https://careers.uniting.org/jobs/registered-nurse-wesley-gardens-belrose-nsw-australia-838b740a-437b-47a1-9095-e14745921a35,Uniting Care,false,,,2024-12-02
Team Leader,"Orange, NSW, 2800",Aged Care,Part time permanent,Closing on: Dec 25 2024,https://careers.uniting.org/jobs/team-leader-orange-nsw-australia-18d9b33e-33be-4b14-86e0-9984cd6c855d,Uniting Care,false,,,2024-12-02
Registered Nurse Nowra,"Nowra, NSW, 2541",Aged Care,Part time permanent,Closing on: Dec 31 2024,https://careers.uniting.org/jobs/registered-nurse-nowra-nowra-nsw-australia,Uniting Care,false,,,2024-12-02
Cook,"Griffith, NSW, 2680",Aged Care,Casual,Closing on: Dec 31 2024,https://careers.uniting.org/jobs/cook-griffith-nsw-australia-30a33df9-e01f-4790-a777-3110d6f98b2e,Uniting Care,false,,,2024-12-02
Registered Nurse - Port Macquarie,"Port Macquarie, NSW, 2444",Aged Care,Part time permanent,Closing on: Dec 25 2024,https://careers.uniting.org/jobs/registered-nurse-port-macquarie-port-macquarie-nsw-australia-ab7120f4-cb1e-4a03-95e8-4aaad91e9650,Uniting Care,false,,,2024-12-02
Care worker - Port Macquarie,"Port Macquarie, NSW, 2444",Aged Care,Part time permanent,Closing on: Dec 14 2024,https://careers.uniting.org/jobs/care-worker-port-macquarie-port-macquarie-nsw-australia-fb0c8b96-502c-4aed-8518-c2b45f58be12,Uniting Care,false,,,2024-12-02
Podiatrist - Sydney Central and North,"Chatswood, NSW, 2067",Aged Care,Full time permanent,Closing on: Dec 20 2024,https://careers.uniting.org/jobs/podiatrist-sydney-central-and-north-chatswood-nsw-australia,Uniting Care,false,,,2024-12-02
Business Administrator,"Berry, NSW, 2535",Aged Care,Full time closed period contract,Closing on: Dec 22 2024,https://careers.uniting.org/jobs/business-administrator-berry-nsw-australia-2568dc8b-949a-4ade-bde9-38d4fb801a1f,Uniting Care,false,,,2024-12-02
Support Worker,"Parramatta, NSW, 2150",Aged Care,Part time permanent,Closing on: Dec 20 2024,https://careers.uniting.org/jobs/support-worker-parramatta-nsw-australia-87e33e77-50b1-4874-958b-228afdee8901,Uniting Care,false,,,2024-12-02
Student Placement - Aged Care & Disability - NSW & ACT,,Aged Care,Student Placement,,https://careers.uniting.org/jobs/student-placement-aged-care-disability-nsw-act,Uniting Care,false,,,2024-12-02
Registered Nurse - Bateau Bay,"Bateau Bay, NSW, 2261",Aged Care,Part time closed period contract,Closing on: Dec 21 2024,https://careers.uniting.org/jobs/registered-nurse-bateau-bay-bateau-bay-nsw-australia-62327c65-f900-45f2-b823-8e8ba0f1a9ad,Uniting Care,false,,,2024-12-02
Home Care Worker - Blue Mountains,"Parramatta, NSW, 2150",Aged Care,Part time permanent,Closing on: Dec 20 2024,https://careers.uniting.org/jobs/home-care-worker-blue-mountains-parramatta-nsw-australia-0c8c1f10-4164-4c97-80e5-597162d6f1fc,Uniting Care,false,,,2024-12-02
Registered Nurse - Wesley Gardens,"Belrose, NSW, 2085",Aged Care,Part time permanent,Closing on: Dec 20 2024,https://careers.uniting.org/jobs/registered-nurse-wesley-gardens-belrose-nsw-australia,Uniting Care,false,,,2024-12-02
Support Worker - Gunnedah,"Tamworth, NSW, 2340",Aged Care,Part time permanent,Closing on: Dec 20 2024,https://careers.uniting.org/jobs/support-worker-gunnedah-tamworth-nsw-australia,Uniting Care,false,,,2024-12-02
Support Scheduler - Hunter & Central Coast,"Garden Suburb, NSW, 2289",Aged Care,Full time permanent,Closing on: Dec 8 2024,https://careers.uniting.org/jobs/support-scheduler-hunter-central-coast-garden-suburb-nsw-australia-1c6613e0-9cc1-4f21-a339-13f4ef3be2f4,Uniting Care,false,,,2024-12-02
Catering Assistant - Bowden Brae,"Normanhurst , NSW, 2076",Aged Care,Part time permanent,Closing on: Dec 19 2024,https://careers.uniting.org/jobs/catering-assistant-bowden-brae-normanhurst-nsw-australia,Uniting Care,false,,,2024-12-02
Home Support Worker,"Hamlyn Terrace, NSW, 2259",Aged Care,Part time permanent,Closing on: Dec 19 2024,https://careers.uniting.org/jobs/home-support-worker-hamlyn-terrace-nsw-australia,Uniting Care,false,,,2024-12-02
Home Care Worker - Sydney North,"Parramatta, NSW, 2150",Aged Care,Part time permanent,Closing on: Dec 20 2024,https://careers.uniting.org/jobs/home-care-worker-sydney-north-parramatta-nsw-australia-8550135d-eaa9-44aa-a106-a78bfe591bd7,Uniting Care,false,,,2024-12-02
Registered Nurse,"Normanhurst, NSW, 2076",Aged Care,Part time permanent,Closing on: Dec 19 2024,https://careers.uniting.org/jobs/registered-nurse-normanhurst-nsw-australia-8447efa8-c43f-4cdf-ac27-956c1ac2f3b2,Uniting Care,false,,,2024-12-02
Support Worker - Hunter T1,"Garden Suburb, NSW, 2289",Aged Care,Part time permanent,Closing on: Dec 12 2024,https://careers.uniting.org/jobs/support-worker-hunter-t1-garden-suburb-nsw-australia-2a6e8d32-2dfc-4eb1-bcbe-f7d23e9ad1e9,Uniting Care,false,,,2024-12-02
Support Worker,"Garden Suburb, NSW, 2289",Aged Care,Part time permanent,Closing on: Dec 12 2024,https://careers.uniting.org/jobs/support-worker-hunter-t3-garden-suburb-nsw-australia,Uniting Care,false,,,2024-12-02
Support Worker,"Hamlyn Terrace, NSW, 2259",Aged Care,Part time permanent,Closing on: Dec 11 2024,https://careers.uniting.org/jobs/support-worker-central-coast-t2-hamlyn-terrace-nsw-australia,Uniting Care,false,,,2024-12-02
Support Worker,"Garden Suburb, NSW, 2289",Aged Care,Part time permanent,Closing on: Dec 8 2024,https://careers.uniting.org/jobs/support-worker-garden-suburb-nsw-australia-844df2c3-c653-44ad-9f8d-79a201bcefda,Uniting Care,false,,,2024-12-02
CHINESE SPEAKING Chef,"Ashfield, NSW, 2131",Aged Care,Part time permanent,Closing on: Dec 16 2024,https://careers.uniting.org/jobs/chinese-speaking-chef-ashfield-nsw-australia-6efb9e6a-79b9-4721-b8cc-dc99698ec32d,Uniting Care,false,,,2024-12-02
Hotel Services (Kitchen hand) - Salamander Bay,"Salamander Bay, NSW, 2317",Aged Care,Part time permanent,Closing on: Dec 15 2024,https://careers.uniting.org/jobs/hotel-services-kitchen-hand-salamander-bay-salamander-bay-nsw-australia,Uniting Care,false,,,2024-12-02
"Care Worker, Hotel Services (Kitchen hand) - Garden Suburb","Garden Suburb, NSW, 2289",Aged Care,Part time permanent,Closing on: Dec 15 2024,https://careers.uniting.org/jobs/care-worker-hotel-services-kitchen-hand-garden-suburb-garden-suburb-nsw-australia,Uniting Care,false,,,2024-12-02
Housekeeping (Cleaning & Laundry) Salamander Bay,"Salamander Bay, NSW, 2317",Aged Care,Part time permanent,Closing on: Dec 15 2024,https://careers.uniting.org/jobs/housekeeping-cleaning-laundry-salamander-bay-salamander-bay-nsw-australia,Uniting Care,false,,,2024-12-02
Care Worker (Night Duty) - Salamander Bay,"Salamander Bay, NSW, 2317",Aged Care,Part time permanent,Closing on: Dec 15 2024,https://careers.uniting.org/jobs/care-worker-night-duty-salamander-bay-salamander-bay-nsw-australia,Uniting Care,false,,,2024-12-02
Care Worker,"Garden Suburb, NSW, 2289",Aged Care,Full time permanent,Closing on: Dec 15 2024,https://careers.uniting.org/jobs/care-worker-garden-suburb-nsw-australia-a7e31a97-871d-40a0-b70e-ac7a85327808,Uniting Care,false,,,2024-12-02
Registered Nurse,"Yamba, NSW, 2464",Aged Care,"Full time permanent


          
    
    
      Part time permanent",Closing on: Dec 15 2024,https://careers.uniting.org/jobs/registered-nurse-yamba-nsw-australia-ab4268c0-03a7-449b-9b9d-fac35f4beddd,Uniting Care,false,,,2024-12-02
Care Worker - Starrett Lodge,"Hamlyn Terrace, NSW, 2259",Aged Care,Part time permanent,Closing on: Dec 14 2024,https://careers.uniting.org/jobs/care-worker-starrett-lodge-hamlyn-terrace-nsw-australia,Uniting Care,false,,,2024-12-02
Bus Driver - Kari Court,"St. Ives, NSW, 2075",Aged Care,Part time permanent,Closing on: Dec 14 2024,https://careers.uniting.org/jobs/bus-driver-kari-court-st-ives-nsw-australia,Uniting Care,false,,,2024-12-02
Registered Nurse,"Woollahra, NSW, 2025",Aged Care,"Casual


          
    
    
      Part time permanent",Closing on: Dec 4 2024,https://careers.uniting.org/jobs/registered-nurse-woollahra-nsw-australia-31cd4100-0cdd-4ace-afb5-4fd65a2b0883,Uniting Care,false,,,2024-12-02
Support Worker - Transitional Care Northern Sydney,"Parramatta, NSW, 2150",Aged Care,Part time permanent,Closing on: Dec 12 2024,https://careers.uniting.org/jobs/transitional-care-support-worker-parramatta-nsw-australia,Uniting Care,false,,,2024-12-02
Home Care Worker,"Nowra, NSW, 2541",Aged Care,Part time permanent,Closing on: Dec 6 2024,https://careers.uniting.org/jobs/home-care-worker-nowra-nsw-australia-f6e42fe7-f6de-4a34-8a09-e0d5f49a2008,Uniting Care,false,,,2024-12-02
Home Care Worker,"Berrigan, NSW, 2712",Aged Care,Part time permanent,Closing on: Dec 12 2024,https://careers.uniting.org/jobs/home-care-worker-berrigan-nsw-australia-edb924e9-77c4-4736-88d6-4648d4c903ff,Uniting Care,false,,,2024-12-02
Home Care Worker- Domestic Assistance,"Parramatta, NSW, 2150",Aged Care,Part time permanent,Closing on: Dec 11 2024,https://careers.uniting.org/jobs/home-care-worker-domestic-assistance-parramatta-nsw-australia,Uniting Care,false,,,2024-12-02
Home Care Worker,"Griffith, NSW, 2680",Aged Care,Part time permanent,Closing on: Dec 12 2024,https://careers.uniting.org/jobs/home-care-worker-griffith-nsw-australia,Uniting Care,false,,,2024-12-02
Home Care Worker,"Crookwell, NSW, 2583",Aged Care,Part time permanent,Closing on: Dec 12 2024,https://careers.uniting.org/jobs/home-care-worker-crookwell-nsw-australia-ba6ddaf3-9aeb-4ae0-b545-0f8170aabbe1,Uniting Care,false,,,2024-12-02
Hawkesbury Registered Nurse,"RICHMOND, NSW, 2753",Aged Care,Part time permanent,Closing on: Dec 20 2024,https://careers.uniting.org/jobs/hawkesbury-registered-nurse-richmond-nsw-australia-3160cc65-6550-443a-8f3f-c590a7e0bec4,Uniting Care,false,,,2024-12-02
Registered Nurse,"Broken Hill, NSW, 2880",Aged Care,Full time permanent,Closing on: Dec 11 2024,https://careers.uniting.org/jobs/registered-nurse-broken-hill-nsw-australia-99c446ec-ae37-47dc-9d92-aa396c22948f,Uniting Care,false,,,2024-12-02
Care Worker - Singleton,"Singleton, NSW, 2330",Aged Care,Part time permanent,Closing on: Dec 6 2024,https://careers.uniting.org/jobs/care-worker-singleton-singleton-nsw-australia-3532d51f-cf0b-4d42-83fa-8c688a47e24f,Uniting Care,false,,,2024-12-02
Homemaker - Singleton,"Singleton, NSW, 2330",Aged Care,Part time permanent,Closing on: Dec 8 2024,https://careers.uniting.org/jobs/homemaker-singleton-singleton-nsw-australia,Uniting Care,false,,,2024-12-02
Hotel Services-  Singleton,"Singleton, NSW, 2330",Aged Care,Part time permanent,Closing on: Dec 8 2024,https://careers.uniting.org/jobs/hotel-services-singleton-singleton-nsw-australia,Uniting Care,false,,,2024-12-02
Support Worker,"Garden Suburb, NSW, 2289",Aged Care,Part time permanent,Closing on: Dec 11 2024,https://careers.uniting.org/jobs/support-worker-garden-suburb-nsw-australia-7d79a371-6dc3-458b-bfb7-8e2205d6a766,Uniting Care,false,,,2024-12-02
Home Care Worker,"Orange, NSW, 2800",Aged Care,Part time permanent,Closing on: Dec 9 2024,https://careers.uniting.org/jobs/home-care-worker-orange-nsw-australia-aa4ad0e8-9438-4d21-86d1-831d2c20a252,Uniting Care,false,,,2024-12-02
Support Worker,"Glenfield Park, NSW, 2650",Aged Care,Part time permanent,Closing on: Dec 6 2024,https://careers.uniting.org/jobs/support-worker-glenfield-park-nsw-australia-cbc16c8a-f2ba-4a9b-a26f-423549111e0a,Uniting Care,false,,,2024-12-02
Support Worker - Goonellabah and Ballina,"Tweed Heads, NSW, 2485",Aged Care,Part time permanent,Closing on: Dec 7 2024,https://careers.uniting.org/jobs/support-worker-goonellabah-and-ballina-tweed-heads-nsw-australia,Uniting Care,false,,,2024-12-02
Care Worker,"Bateau Bay, NSW, 2261",Aged Care,Part time permanent,Closing on: Dec 7 2024,https://careers.uniting.org/jobs/care-worker-bateau-bay-nsw-australia-67b6219e-7ecc-4cf0-a7e0-8dc325d07cd7,Uniting Care,false,,,2024-12-02
Leisure and Wellness Coordinator - Thomas Bowden,"Ryde, NSW, 2112",Aged Care,Full time permanent,Closing on: Dec 5 2024,https://careers.uniting.org/jobs/leisure-and-wellness-coordinator-thomas-bowden-ryde-nsw-australia,Uniting Care,false,,,2024-12-02
Wellness Officer,"Normanhurst, NSW, 2076",Aged Care,Part time permanent,Closing on: Dec 5 2024,https://careers.uniting.org/jobs/wellness-officer-normanhurst-nsw-australia,Uniting Care,false,,,2024-12-02
Registered Nurse - Goonellabah,"Goonellabah , NSW, 2480",Aged Care,Part time permanent,Closing on: Dec 4 2024,https://careers.uniting.org/jobs/registered-nurse-goonellabah-goonellabah-nsw-australia-49316e54-8b6b-49bf-a1a8-3124a460d7bd,Uniting Care,false,,,2024-12-02
Care Worker - Salamander Bay,"Salamander Bay, NSW, 2317",Aged Care,Part time permanent,Closing on: Dec 4 2024,https://careers.uniting.org/jobs/care-worker-salamander-bay-salamander-bay-nsw-australia-98895f7f-b364-4281-af89-f148de51be6f,Uniting Care,false,,,2024-12-02
Home Care Worker,"Moruya, NSW, 2537",Aged Care,Part time permanent,Closing on: Dec 2 2024,https://careers.uniting.org/jobs/home-care-worker-moruya-nsw-australia-e3b205ce-de79-4e1a-af94-9b3f0c6938ac,Uniting Care,false,,,2024-12-02
Workforce Pool Care Worker - Central Coast,"Leichhardt, NSW, 2040",Aged Care,Casual,Closing on: Dec 6 2024,https://careers.uniting.org/jobs/workforce-pool-care-worker-central-coast-leichhardt-nsw-australia,Uniting Care,false,,,2024-12-02
Workforce Pool Care Worker - Newcastle area,"Leichhardt, NSW, 2040",Aged Care,Casual,Closing on: Dec 6 2024,https://careers.uniting.org/jobs/workforce-pool-care-worker-newcastle-area-leichhardt-nsw-australia,Uniting Care,false,,,2024-12-02
Workforce Pool Registered Nurse - Sydney,"Leichhardt, NSW, 2040",Aged Care,Casual,Closing on: Dec 6 2024,https://careers.uniting.org/jobs/workforce-pool-registered-nurse-sydney-leichhardt-nsw-australia,Uniting Care,false,,,2024-12-02
Workforce Pool Registered Nurse - Central Coast,"Leichhardt, NSW, 2040",Aged Care,Casual,Closing on: Dec 10 2024,https://careers.uniting.org/jobs/registered-nurse-workforce-pool-central-coast-and-newcastle-leichhardt-nsw-australia,Uniting Care,false,,,2024-12-02
Workforce Pool Registered Nurse - Newcastle,"Leichhardt, NSW, 2040",Aged Care,Casual,Closing on: Dec 9 2024,https://careers.uniting.org/jobs/workforce-pool-registered-nurse-newcastle-leichhardt-nsw-australia,Uniting Care,false,,,2024-12-02
Care Worker,"Springwood, NSW, 2777",Aged Care,Part time permanent,Closing on: Dec 2 2024,https://careers.uniting.org/jobs/care-worker-springwood-nsw-australia-406fca87-11f1-4fb7-aead-92db833fb9ac,Uniting Care,false,,,2024-12-02
Support Worker - Crisis Accommodation (Inactive Sleepovers),"North Parramatta, NSW, 2151",Disability Support,Part time permanent,Closing on: Dec 8 2024,https://careers.uniting.org/jobs/support-worker-crisis-accommodation-inactive-sleepovers-north-parramatta-nsw-australia,Uniting Care,false,,,2024-12-02
Disability Support Worker,"Narara, NSW, 2250",Disability Support,Part time permanent,Closing on: Dec 8 2024,https://careers.uniting.org/jobs/disability-support-worker-narara-narara-nsw-australia,Uniting Care,false,,,2024-12-02
Mental Health Support Worker,"Seven Hills, NSW, 2147",Disability Support,Part time permanent,Closing on: Dec 8 2024,https://careers.uniting.org/jobs/mental-health-support-worker-seven-hills-nsw-australia,Uniting Care,false,,,2024-12-02
Mental Health Support Worker,"Tuggerah, NSW, 2259",Disability Support,Part time permanent,Closing on: Dec 3 2024,https://careers.uniting.org/jobs/mental-health-support-worker-tuggerah-nsw-australia-89f5f2e8-f77f-48be-8cb2-3e33f1470935,Uniting Care,false,,,2024-12-02
Mental Health Support Worker,"Tuggerah, NSW, 2259",Disability Support,Full time permanent,Closing on: Dec 3 2024,https://careers.uniting.org/jobs/mental-health-support-worker-tuggerah-nsw-australia-dd59ba33-0d1c-481d-b121-f7dee3b5c653,Uniting Care,false,,,2024-12-02
Mental Health Support Worker,"Penrith, NSW, 2750",Disability Support,Part time permanent,Closing on: Dec 5 2024,https://careers.uniting.org/jobs/mental-health-support-worker-penrith-nsw-australia,Uniting Care,false,,,2024-12-02
Mental Health Support Worker,"Tuggerah, NSW, 2259",Disability Support,Part time permanent,Closing on: Dec 3 2024,https://careers.uniting.org/jobs/mental-health-support-worker-tuggerah-nsw-australia-ce737639-b000-40f8-a98a-30eb1613eb9a,Uniting Care,false,,,2024-12-02
Student Placement - Aged Care & Disability - NSW & ACT,,Disability Support,Student Placement,,https://careers.uniting.org/jobs/student-placement-aged-care-disability-nsw-act,Uniting Care,false,,,2024-12-02
Mental Health Support Worker,"Chatswood, NSW, 2067",Disability Support,Full time closed period contract,Closing on: Dec 4 2024,https://careers.uniting.org/jobs/mental-health-support-worker-chatswood-nsw-australia-b45f4166-d142-4656-94d5-2cf04f3215bd,Uniting Care,false,,,2024-12-02
Regional Manager,"Canberra


          
    
    
      St Leonards


          
    
    
      Darwin


          
    
    
      Brisbane- Chermside


          
    
    
      Daw Park


          
    
    
      Devonport


          
    
    
      Hobart


          
    
    
      Launceston


          
    
    
      Rosny Park


          
    
    
      Malvern


          
    
    
      Perth


  
    
      
        
        Show More
      
        
        Show Less",Aged Care,Maximum Term Full Time,,https://careers.hammond.com.au/jobs/regional-manager-canberra-act-australia-st-leonards-nsw-darwin-nt-brisbane-chermside-qld-daw-park-sa-devonport-tas-hobart-launceston-rosny-park-malvern-vic-perth-wa,Hammond Care,false,,,2024-12-02
Head of Project Management Office,St Leonards,Aged Care,Permanent Full Time,,https://careers.hammond.com.au/jobs/head-of-project-management-office-st-leonards-nsw-australia,Hammond Care,false,,,2024-12-02
Enrolled Nurse,Cardiff,Aged Care,Permanent Part Time,,https://careers.hammond.com.au/jobs/enrolled-nurse-cardiff-nsw-australia,Hammond Care,false,,,2024-12-02
Enrolled Nurse,Waratah,Aged Care,"Permanent Full Time


          
    
    
      Permanent Part Time",,https://careers.hammond.com.au/jobs/enrolled-nurse-waratah-nsw-australia,Hammond Care,false,,,2024-12-02
Dementia Support Coach - Hervey Bay,Hervey Bay,Aged Care,Maximum Term Full Time,,https://careers.hammond.com.au/jobs/dementia-support-coach-hervey-bay-hervey-bay-queensland-australia,Hammond Care,false,,,2024-12-02
General Manager - Residential Care,St Leonards,Aged Care,Permanent Full Time,,https://careers.hammond.com.au/jobs/general-manager-residential-care-st-leonards-nsw-australia-malvern-vic,Hammond Care,false,,,2024-12-02
Workplace Coach - Horsley Residential,Horsley,Aged Care,Permanent Full Time,,https://careers.hammond.com.au/jobs/workplace-coach-horsley-residential-horsley-nsw-australia,Hammond Care,false,,,2024-12-02
Home Care Worker - Eastern Suburbs,Miranda,Aged Care,Permanent Part Time,,https://careers.hammond.com.au/jobs/specialised-carer-home-care-south-east-sydney-miranda-nsw-australia-196243c1-83fe-4901-8e24-1ebb240a3cbe,Hammond Care,false,,,2024-12-02
